"date","ppt","tmin","tmean","tmax","lat","lon","site_name"
"2016-05-15",0,21.8,28.9,36.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-16",0,20.1,26.2,32.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-17",0,19.5,25.3,31,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-18",0,19.7,24.9,30.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-19",0,18.6,23.2,27.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-20",0,18.1,25.1,32.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-21",0,20.4,27.4,34.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-22",0,18.1,24.7,31.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-23",0,16.6,22.7,28.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-24",0,16.8,23.3,29.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-25",0,15.8,22.7,29.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-26",0,16.6,23.7,30.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-27",0,16.6,22.1,27.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-28",0,17.6,24.6,31.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-29",0,19.1,26.6,34,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-30",0,18.6,26.5,34.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-05-31",0,18.3,25.5,32.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-01",0,18.6,26.9,35.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-02",0,22.8,29.8,36.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-03",0,23.1,31.5,39.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-04",0,24.6,33.7,42.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-05",0,25.5,34.7,43.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-06",0,25.4,34.4,43.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-07",0,25.8,33.7,41.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-08",0,25.3,32.1,38.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-09",0,26.4,32.7,39.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-10",0,27,32.4,37.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-11",0.32,23.9,29.9,35.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-12",0,23,29.5,36,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-13",0,23.6,30.1,36.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-14",0,22.5,28.5,34.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-15",0,21.5,28.4,35.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-16",0,22.1,29.1,36,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-17",0,22.7,29.5,36.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-18",0,22.6,30.5,38.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-19",0,24,33,42.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-20",0,27.9,37.1,46.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-21",0,30.7,37.6,44.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-22",0,30.7,36.2,41.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-23",0,30.3,36.1,41.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-24",0,29.3,35.5,41.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-25",0,28.9,34.9,40.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-26",0,28.1,34.2,40.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-27",0,30.1,34.5,39,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-28",0.5,30,35.4,40.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-29",0,30.4,36.4,42.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-06-30",5.26,24.3,31.9,39.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-01",2.24,25.6,29.4,33.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-02",0,24.5,29,33.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-03",0,26.8,32.2,37.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-04",0,28,33.7,39.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-05",0,28,34.4,40.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-06",0,28.3,34.5,40.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-07",0,28.2,33.6,39,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-08",0,27.7,33.3,38.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-09",0,27.6,33.9,40.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-10",0,29.1,35.2,41.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-11",0,28.9,35.2,41.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-12",0,26.3,33.2,40.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-13",0,25.8,33.2,40.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-14",0,27.4,34,40.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-15",0,29.4,35.6,41.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-16",0,29.8,35.8,41.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-17",0,30.8,35.5,40.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-18",0.27,27.7,32.8,37.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-19",0,27.3,33.1,38.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-20",0,29,34.5,40,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-21",0,29.5,34.9,40.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-22",0,30.2,36.1,42.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-23",0,31.3,37.1,42.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-24",0,30.6,36.5,42.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-25",0,30.9,35.5,40.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-26",0.44,29.9,34.9,39.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-27",0,30.4,36,41.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-28",0,31.4,37.1,42.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-29",0,30.7,36.4,42.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-30",2.06,25.9,34.1,42.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-07-31",1.2,27.9,32.6,37.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-01",0,25.9,31.7,37.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-02",0,26,31,35.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-03",22.2,24.3,29.7,35.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-04",0.67,26.7,30.8,34.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-05",1.08,27.7,31.7,35.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-06",10.23,22.7,28.9,35.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-07",0,26.7,33,39.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-08",0,28.6,34.6,40.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-09",0,29.3,35.1,40.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-10",17.8,25.4,29.8,34.2,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-11",1.23,26.3,31.3,36.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-12",4.85,24.4,29.5,34.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-13",0,27.5,33.1,38.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-14",0,27.5,33.7,39.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-15",0,28.3,33.6,38.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-16",0,29.4,35.1,40.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-17",0,28.8,35.4,42,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-18",0,29.2,35,40.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-19",0,26.3,32.1,38,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-20",0,26.2,32.1,38,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-21",1.47,25.1,30.6,36.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-22",0,25.1,30.5,35.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-23",3.2,22.5,29.2,35.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-24",0.39,22,27.7,33.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-25",0,23.5,30.2,36.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-26",1,24.1,30.5,36.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-27",0,24.4,29.4,34.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-28",0,22.9,28.5,34,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-29",0,22.4,29.1,35.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-30",0,25.5,31.9,38.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-08-31",0,27.1,33.4,39.7,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-01",0,28.7,33.6,38.6,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-02",0,27.8,32.5,37.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-03",0,27.5,32.8,38.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-04",0,24.9,31.7,38.5,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-05",0,22.1,29.2,36.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-06",0,22.4,29.6,36.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-07",0.42,23.9,29.9,35.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-08",0,23.4,26.7,30,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-09",0,23.3,28.6,33.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-10",0,24.7,31.2,37.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-11",0,24.8,31.5,38.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-12",0,25.5,31.9,38.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-13",0,24.8,30.1,35.3,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-14",0,23.7,28.9,34.1,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-15",0,21.1,27.5,34,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-16",0,18.6,26.3,33.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-17",0,19,26.5,34,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-18",0,19.4,27.6,35.8,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-19",0,20.7,29.5,38.4,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
"2016-09-20",0,21.8,28.9,35.9,33.6005,-111.8119,"Lost Dog, Kovach Nature Trail"
