PRISM Time Series Data
Location:  Lat: 33.6493   Lon: -111.8585   Elev: 529m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Period: 2016-01-01 - 2024-12-31
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Jul-16
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
2016-06-29,0.00,30.7,36.5,42.3
2016-06-30,5.91,24.1,31.8,39.5
2016-07-01,1.19,25.7,29.5,33.2
2016-07-02,0.38,24.5,28.9,33.4
2016-07-03,0.00,27.2,32.4,37.5
2016-07-04,0.00,28.4,33.8,39.3
2016-07-05,0.00,28.3,34.6,40.9
2016-07-06,0.00,28.5,34.5,40.6
2016-07-07,0.00,28.5,33.7,38.9
2016-07-08,0.00,28.0,33.4,38.8
2016-07-09,0.00,28.1,34.1,40.1
2016-07-10,0.00,29.6,35.4,41.2
2016-07-11,0.00,29.0,35.2,41.4
2016-07-12,0.00,26.8,33.4,40.0
2016-07-13,0.00,26.3,33.4,40.5
2016-07-14,0.00,27.6,34.1,40.6
2016-07-15,0.00,29.8,35.8,41.7
2016-07-16,0.00,30.2,36.0,41.7
2016-07-17,0.00,30.9,35.5,40.1
2016-07-18,0.78,27.6,32.6,37.7
2016-07-19,0.00,27.6,33.2,38.8
2016-07-20,0.00,29.4,34.7,40.0
2016-07-21,0.00,30.0,35.1,40.3
2016-07-22,0.00,30.6,36.4,42.1
2016-07-23,0.00,31.7,37.2,42.8
2016-07-24,0.00,30.9,36.6,42.3
2016-07-25,0.00,31.2,35.7,40.1
2016-07-26,0.74,30.3,35.0,39.7
2016-07-27,0.00,30.6,36.1,41.5
2016-07-28,0.00,31.7,37.2,42.8
2016-07-29,0.00,30.8,36.5,42.2
2016-07-30,4.38,26.0,34.2,42.4
2016-07-31,1.29,28.1,32.7,37.3
2016-08-01,0.00,26.2,31.8,37.4
2016-08-02,0.00,26.2,31.1,36.0
2016-08-03,5.18,24.2,29.7,35.2
2016-08-04,5.00,27.0,30.9,34.9
2016-08-05,5.81,28.1,31.8,35.5
2016-08-06,26.52,22.2,28.7,35.1
2016-08-07,0.00,26.9,33.0,39.1
2016-08-08,0.00,28.9,34.8,40.6
2016-08-09,0.00,29.7,35.2,40.7
2016-08-10,3.47,25.4,29.7,34.0
2016-08-11,0.00,26.9,31.5,36.2
2016-08-12,6.40,24.2,29.4,34.6
2016-08-13,0.00,27.7,33.2,38.7
2016-08-14,0.00,27.7,33.7,39.7
2016-08-15,0.00,28.7,33.7,38.7
2016-08-16,0.00,29.8,35.2,40.7
2016-08-17,0.00,29.1,35.6,42.0
2016-08-18,0.00,29.8,35.2,40.6
2016-08-19,0.40,26.5,32.2,37.9
2016-08-20,0.55,26.5,32.2,37.9
2016-08-21,3.13,25.3,30.6,35.9
2016-08-22,0.00,25.4,30.6,35.8
2016-08-23,5.41,22.6,29.3,36.0
2016-08-24,0.70,22.0,27.7,33.4
2016-08-25,0.00,23.6,30.2,36.7
2016-08-26,1.53,24.5,30.6,36.8
2016-08-27,0.00,24.7,29.5,34.3
2016-08-28,0.00,23.3,28.6,34.0
2016-08-29,0.00,22.5,29.0,35.6
2016-08-30,0.00,25.7,32.0,38.3
2016-08-31,0.00,27.3,33.5,39.8
2016-09-01,0.00,29.2,33.8,38.4
2016-09-02,0.00,27.9,32.6,37.2
2016-09-03,0.00,27.7,32.9,38.1
2016-09-04,0.00,25.0,31.8,38.5
2016-09-05,0.00,22.2,29.2,36.2
2016-09-06,0.00,22.6,29.7,36.8
2016-09-07,0.00,24.1,29.9,35.8
2016-09-08,0.47,23.6,26.8,30.1
2016-09-09,0.00,23.5,28.6,33.7
2016-09-10,0.00,24.9,31.3,37.8
2016-09-11,0.00,24.8,31.4,38.0
2016-09-12,0.52,25.6,32.0,38.3
2016-09-13,0.00,25.1,30.2,35.3
2016-09-14,0.00,23.8,28.9,33.9
2016-09-15,0.00,21.3,27.6,33.9
2016-09-16,0.00,18.6,26.2,33.9
2016-09-17,0.00,19.1,26.5,33.9
2016-09-18,0.00,19.7,27.7,35.7
2016-09-19,0.00,20.7,29.5,38.4
2016-09-20,0.00,21.9,28.8,35.8
2016-09-21,0.65,24.5,27.5,30.5
2016-09-22,0.00,24.1,29.6,35.1
2016-09-23,5.00,22.0,25.1,28.1
2016-09-24,0.00,16.2,22.5,28.9
2016-09-25,0.00,15.4,23.0,30.6
2016-09-26,0.00,22.5,28.1,33.7
2016-09-27,0.00,23.2,27.2,31.2
2016-09-28,0.29,21.7,25.6,29.5
2016-09-29,0.00,23.3,28.3,33.2
2016-09-30,0.00,22.4,27.4,32.3
2016-10-01,0.00,21.7,27.7,33.7
2016-10-02,0.00,22.1,27.8,33.4
2016-10-03,7.53,19.8,23.3,26.8
2016-10-04,0.00,15.4,21.5,27.6
2016-10-05,0.00,15.8,21.7,27.5
2016-10-06,0.00,15.2,22.2,29.1
2016-10-07,0.00,18.0,23.8,29.7
2016-10-08,0.00,17.3,25.5,33.8
2016-10-09,0.00,22.2,28.1,34.1
2016-10-10,0.00,21.6,27.6,33.5
2016-10-11,0.00,20.0,26.7,33.4
2016-10-12,0.00,18.2,25.8,33.4
2016-10-13,0.00,17.7,24.8,31.8
2016-10-14,0.00,17.7,25.0,32.3
2016-10-15,0.00,16.9,25.2,33.4
2016-10-16,0.00,17.8,25.2,32.6
2016-10-17,0.00,17.8,24.6,31.4
2016-10-18,0.00,18.1,24.2,30.3
2016-10-19,0.00,17.6,24.1,30.7
2016-10-20,0.00,17.1,24.4,31.8
2016-10-21,0.00,16.1,25.3,34.5
2016-10-22,0.00,21.6,27.8,34.1
2016-10-23,0.00,19.8,27.0,34.1
2016-10-24,0.00,19.3,26.4,33.4
2016-10-25,0.00,21.2,25.9,30.7
2016-10-26,0.00,19.6,25.4,31.2
2016-10-27,0.00,19.7,26.5,33.4
2016-10-28,0.00,20.8,28.2,35.5
2016-10-29,0.00,19.6,25.8,32.0
2016-10-30,0.00,18.9,25.9,32.9
2016-10-31,0.00,19.7,25.7,31.7
2016-11-01,0.00,18.2,23.1,27.9
2016-11-02,0.00,15.4,20.4,25.3
2016-11-03,0.00,15.2,21.3,27.4
2016-11-04,7.30,16.3,21.8,27.2
2016-11-05,0.00,15.3,20.3,25.2
2016-11-06,0.00,15.8,21.0,26.1
2016-11-07,0.00,15.4,21.4,27.3
2016-11-08,0.00,15.5,22.2,29.0
2016-11-09,0.00,19.4,25.2,31.0
2016-11-10,0.00,18.6,23.2,27.8
2016-11-11,0.00,17.4,21.8,26.3
2016-11-12,0.00,17.5,21.8,26.2
2016-11-13,0.00,14.5,21.0,27.6
2016-11-14,0.00,13.4,20.6,27.7
2016-11-15,0.00,13.2,20.9,28.5
2016-11-16,0.00,13.7,21.3,28.9
2016-11-17,0.00,14.4,19.3,24.1
2016-11-18,0.00,8.8,14.8,20.7
2016-11-19,0.00,7.8,15.8,23.8
2016-11-20,0.00,12.2,19.6,27.1
2016-11-21,1.22,15.9,18.9,22.0
2016-11-22,5.20,9.2,13.8,18.4
2016-11-23,0.00,8.7,14.4,20.1
2016-11-24,0.00,9.3,15.8,22.2
2016-11-25,0.00,8.3,16.3,24.4
2016-11-26,0.00,9.9,17.6,25.3
2016-11-27,0.00,11.9,16.2,20.5
2016-11-28,7.31,7.7,11.4,15.1
2016-11-29,0.00,5.1,8.7,12.3
2016-11-30,0.00,3.5,9.0,14.5
2016-12-01,0.00,3.8,9.5,15.1
2016-12-02,0.00,4.6,9.8,15.0
2016-12-03,0.00,7.1,10.9,14.6
2016-12-04,0.00,7.2,13.7,20.2
2016-12-05,0.00,5.3,12.5,19.8
2016-12-06,0.00,5.7,11.7,17.6
2016-12-07,0.00,7.8,12.3,16.8
2016-12-08,0.00,7.1,12.2,17.2
2016-12-09,0.00,6.7,12.6,18.6
2016-12-10,0.00,7.4,13.8,20.2
2016-12-11,0.00,8.0,14.3,20.6
2016-12-12,0.00,9.5,15.4,21.3
2016-12-13,0.00,10.0,15.9,21.7
2016-12-14,0.00,10.8,16.3,21.8
2016-12-15,0.00,9.8,16.3,22.9
2016-12-16,1.39,10.1,16.4,22.8
2016-12-17,1.72,11.7,16.1,20.5
2016-12-18,0.00,3.0,8.2,13.4
2016-12-19,0.00,2.8,9.2,15.7
2016-12-20,0.00,8.9,14.5,20.0
2016-12-21,0.00,10.2,15.8,21.5
2016-12-22,13.60,14.9,17.5,20.0
2016-12-23,7.20,11.7,14.8,17.8
2016-12-24,0.00,9.6,12.4,15.2
2016-12-25,9.80,5.6,10.4,15.3
2016-12-26,0.00,2.5,6.3,10.2
2016-12-27,0.00,2.0,8.9,15.7
2016-12-28,0.00,5.5,13.0,20.4
2016-12-29,0.00,7.5,12.4,17.3
2016-12-30,0.00,9.5,16.6,23.7
2016-12-31,9.25,10.7,15.4,20.0
2017-01-01,6.73,11.7,13.4,15.1
2017-01-02,10.03,9.2,10.8,12.4
2017-01-03,0.00,6.1,9.4,12.7
2017-01-04,0.00,6.2,10.6,15.1
2017-01-05,0.00,7.0,12.3,17.5
2017-01-06,0.00,8.2,13.0,17.8
2017-01-07,0.00,6.8,12.0,17.2
2017-01-08,0.00,5.7,11.7,17.7
2017-01-09,0.00,8.4,15.2,22.0
2017-01-10,0.00,9.9,13.9,18.0
2017-01-11,0.00,9.4,14.2,19.1
2017-01-12,0.00,7.8,12.6,17.3
2017-01-13,0.00,7.7,13.2,18.7
2017-01-14,0.00,12.6,15.9,19.2
2017-01-15,1.63,10.5,15.8,21.2
2017-01-16,0.29,9.9,11.8,13.6
2017-01-17,0.00,6.2,10.7,15.1
2017-01-18,0.00,6.0,11.4,16.8
2017-01-19,0.00,6.4,11.9,17.3
2017-01-20,1.29,7.8,9.7,11.6
2017-01-21,20.35,8.0,9.6,11.1
2017-01-22,0.00,5.1,9.2,13.3
2017-01-23,0.00,5.7,10.0,14.2
2017-01-24,6.92,6.0,9.7,13.4
2017-01-25,0.00,2.7,6.9,11.1
2017-01-26,0.00,1.7,7.1,12.4
2017-01-27,0.00,2.1,7.5,12.9
2017-01-28,0.00,4.6,8.9,13.1
2017-01-29,0.00,1.6,9.5,17.5
2017-01-30,0.00,4.7,13.2,21.6
2017-01-31,0.00,6.2,14.5,22.8
2017-02-01,0.00,5.9,13.6,21.2
2017-02-02,0.00,6.0,13.9,21.8
2017-02-03,0.00,7.1,13.9,20.7
2017-02-04,0.00,7.1,13.9,20.6
2017-02-05,0.00,6.2,14.2,22.2
2017-02-06,0.00,7.3,15.0,22.8
2017-02-07,0.00,11.8,14.6,17.5
2017-02-08,0.00,10.4,15.5,20.6
2017-02-09,0.00,10.5,16.7,22.9
2017-02-10,0.00,12.0,19.4,26.8
2017-02-11,0.00,13.0,19.9,26.8
2017-02-12,0.00,14.5,19.2,23.9
2017-02-13,0.00,15.4,18.8,22.3
2017-02-14,0.00,13.6,17.4,21.1
2017-02-15,0.00,11.7,16.9,22.0
2017-02-16,0.00,10.6,16.2,21.8
2017-02-17,0.00,9.0,15.8,22.7
2017-02-18,2.30,14.0,17.9,21.8
2017-02-19,24.43,9.5,13.3,17.2
2017-02-20,4.09,9.3,11.5,13.6
2017-02-21,0.00,9.3,14.1,19.0
2017-02-22,0.00,9.9,16.5,23.1
2017-02-23,0.00,10.4,16.9,23.3
2017-02-24,0.00,4.9,10.2,15.6
2017-02-25,0.00,3.7,9.5,15.3
2017-02-26,0.00,3.6,10.2,16.8
2017-02-27,0.00,8.8,13.3,17.8
2017-02-28,14.65,8.2,12.0,15.7
2017-03-01,6.54,6.2,11.7,17.1
2017-03-02,0.00,5.4,12.8,20.1
2017-03-03,0.00,5.5,14.9,24.4
2017-03-04,0.00,10.5,17.5,24.4
2017-03-05,0.00,9.9,17.2,24.5
2017-03-06,0.00,10.4,16.0,21.6
2017-03-07,0.00,6.8,12.1,17.4
2017-03-08,0.00,6.1,14.3,22.6
2017-03-09,0.00,9.6,18.7,27.8
2017-03-10,0.00,11.0,20.0,29.0
2017-03-11,0.00,11.7,20.9,30.2
2017-03-12,0.00,13.5,21.5,29.6
2017-03-13,0.00,14.1,21.9,29.6
2017-03-14,0.00,14.5,22.9,31.2
2017-03-15,0.00,15.3,23.8,32.3
2017-03-16,0.00,15.1,23.3,31.6
2017-03-17,0.00,14.6,23.4,32.1
2017-03-18,0.00,15.9,24.0,32.2
2017-03-19,0.00,16.5,24.4,32.3
2017-03-20,0.00,15.6,24.7,33.8
2017-03-21,0.00,17.5,25.4,33.3
2017-03-22,0.00,17.0,24.2,31.5
2017-03-23,2.06,11.9,18.8,25.6
2017-03-24,0.00,9.5,14.2,18.8
2017-03-25,0.00,9.4,16.9,24.4
2017-03-26,0.00,11.6,18.5,25.5
2017-03-27,0.00,11.1,18.0,25.0
2017-03-28,0.94,12.6,19.3,26.0
2017-03-29,0.00,11.4,17.9,24.5
2017-03-30,0.00,12.3,20.1,27.9
2017-03-31,0.00,12.9,21.4,29.8
2017-04-01,0.00,9.2,13.1,17.0
2017-04-02,0.00,9.3,15.2,21.2
2017-04-03,0.00,10.1,17.9,25.7
2017-04-04,0.00,12.8,20.0,27.1
2017-04-05,0.00,11.7,18.0,24.3
2017-04-06,0.00,11.4,19.6,27.8
2017-04-07,0.00,13.7,22.1,30.5
2017-04-08,0.00,15.4,22.5,29.6
2017-04-09,0.00,14.3,21.2,28.2
2017-04-10,0.00,12.0,18.5,25.0
2017-04-11,0.00,11.5,19.4,27.3
2017-04-12,0.00,12.0,20.7,29.5
2017-04-13,0.00,14.0,22.6,31.1
2017-04-14,0.00,15.3,23.5,31.7
2017-04-15,0.00,15.0,22.2,29.4
2017-04-16,0.00,13.9,21.4,29.0
2017-04-17,0.00,14.5,22.6,30.6
2017-04-18,0.00,15.0,23.1,31.2
2017-04-19,0.00,16.2,24.4,32.6
2017-04-20,0.00,15.6,23.1,30.6
2017-04-21,0.00,14.8,23.3,31.7
2017-04-22,0.00,16.2,24.5,32.8
2017-04-23,0.00,16.6,25.0,33.4
2017-04-24,0.00,17.4,26.2,34.9
2017-04-25,0.00,19.4,25.0,30.5
2017-04-26,0.00,17.2,23.1,29.0
2017-04-27,0.00,17.2,23.7,30.1
2017-04-28,0.00,19.1,24.6,30.1
2017-04-29,0.00,13.2,20.5,27.9
2017-04-30,0.00,12.8,19.1,25.5
2017-05-01,0.00,13.5,20.9,28.3
2017-05-02,0.00,14.5,23.5,32.5
2017-05-03,0.00,16.9,25.2,33.4
2017-05-04,0.00,19.6,27.8,36.0
2017-05-05,0.00,20.6,28.9,37.2
2017-05-06,0.00,21.0,30.4,39.8
2017-05-07,0.00,17.0,25.6,34.2
2017-05-08,0.00,14.3,17.7,21.1
2017-05-09,4.23,13.3,19.8,26.3
2017-05-10,0.00,13.6,17.5,21.4
2017-05-11,0.00,13.7,18.7,23.6
2017-05-12,0.00,15.8,23.3,30.7
2017-05-13,0.00,19.3,26.6,33.8
2017-05-14,0.00,19.8,27.0,34.2
2017-05-15,0.00,18.9,25.1,31.3
2017-05-16,0.00,15.3,21.7,28.1
2017-05-17,0.00,14.6,19.0,23.3
2017-05-18,0.00,14.6,21.0,27.4
2017-05-19,0.00,15.3,21.7,28.1
2017-05-20,0.00,15.4,22.1,28.7
2017-05-21,0.00,17.3,25.2,33.1
2017-05-22,0.00,19.3,27.7,36.1
2017-05-23,0.00,21.5,29.6,37.7
2017-05-24,0.00,22.2,30.4,38.7
2017-05-25,0.00,22.3,30.6,38.8
2017-05-26,0.00,21.7,28.7,35.8
2017-05-27,0.00,19.8,26.2,32.5
2017-05-28,0.00,19.4,26.6,33.8
2017-05-29,0.00,20.0,28.3,36.6
2017-05-30,0.00,21.7,29.7,37.7
2017-05-31,0.00,23.3,30.1,37.0
2017-06-01,0.00,23.8,30.1,36.5
2017-06-02,0.00,22.2,28.7,35.2
2017-06-03,0.00,22.5,29.7,36.9
2017-06-04,0.00,23.7,31.6,39.6
2017-06-05,0.00,25.6,32.8,40.0
2017-06-06,0.00,26.4,33.2,40.0
2017-06-07,0.00,26.0,32.7,39.4
2017-06-08,0.00,24.5,31.9,39.3
2017-06-09,0.00,23.9,30.8,37.8
2017-06-10,0.00,25.2,31.7,38.3
2017-06-11,0.00,23.9,29.9,35.9
2017-06-12,0.00,21.9,28.6,35.3
2017-06-13,0.00,18.0,24.7,31.4
2017-06-14,0.00,18.3,26.1,33.9
2017-06-15,0.00,19.5,28.6,37.7
2017-06-16,0.00,21.2,30.6,39.9
2017-06-17,0.00,22.1,31.6,41.1
2017-06-18,0.00,24.3,32.8,41.2
2017-06-19,0.00,24.2,33.5,42.9
2017-06-20,0.00,28.4,37.0,45.5
2017-06-21,0.00,29.4,38.0,46.6
2017-06-22,0.00,31.0,38.4,45.7
2017-06-23,0.00,30.0,36.5,42.9
2017-06-24,0.00,29.7,36.1,42.5
2017-06-25,0.00,30.4,37.4,44.3
2017-06-26,0.00,31.7,37.7,43.8
2017-06-27,0.00,29.0,35.9,42.7
2017-06-28,0.00,27.6,34.3,40.9
2017-06-29,0.00,27.2,33.7,40.2
2017-06-30,0.00,27.2,33.4,39.5
2017-07-01,0.00,25.3,32.9,40.5
2017-07-02,0.00,26.1,33.8,41.6
2017-07-03,0.00,26.5,33.5,40.4
2017-07-04,0.00,29.6,34.8,40.0
2017-07-05,0.00,28.6,35.2,41.8
2017-07-06,0.00,29.1,36.1,43.2
2017-07-07,0.00,30.7,36.8,42.8
2017-07-08,0.00,31.4,38.2,45.0
2017-07-09,0.00,31.1,36.7,42.3
2017-07-10,0.00,29.6,35.2,40.9
2017-07-11,0.00,27.6,34.3,40.9
2017-07-12,0.00,27.5,32.6,37.8
2017-07-13,1.04,29.0,34.6,40.3
2017-07-14,3.39,29.1,35.0,41.0
2017-07-15,0.00,29.1,34.7,40.2
2017-07-16,6.57,28.0,34.2,40.4
2017-07-17,7.35,23.3,30.6,37.8
2017-07-18,0.00,25.2,30.7,36.2
2017-07-19,0.52,25.9,31.4,36.8
2017-07-20,0.00,27.9,32.5,37.1
2017-07-21,0.31,27.1,32.3,37.5
2017-07-22,2.58,27.1,32.5,38.0
2017-07-23,2.12,28.1,33.7,39.2
2017-07-24,3.65,25.0,31.2,37.3
2017-07-25,9.76,23.8,27.0,30.3
2017-07-26,0.00,26.9,31.3,35.8
2017-07-27,0.00,28.0,33.7,39.4
2017-07-28,0.00,28.9,34.9,40.9
2017-07-29,0.00,27.9,32.1,36.3
2017-07-30,1.36,26.1,31.6,37.1
2017-07-31,0.00,26.6,31.4,36.1
2017-08-01,0.00,29.6,34.5,39.4
2017-08-02,0.00,29.3,33.2,37.2
2017-08-03,0.00,28.3,31.8,35.2
2017-08-04,5.47,25.1,31.4,37.7
2017-08-05,0.00,24.9,31.3,37.7
2017-08-06,0.00,27.7,32.9,38.2
2017-08-07,0.00,27.0,32.5,38.1
2017-08-08,0.00,26.0,32.5,39.0
2017-08-09,0.00,26.0,33.2,40.4
