"sspi","phenophase_id","species_id","additional_definition","active","startdate","stopdate","intensity_category_id"
40,501,12,"For Cornus florida, ignore the four large, white bracts and watch for the opening of the small flowers in the center of the showy bracts.",0,2009-03-01,2011-03-20,NA
41,390,12,"For Cornus florida, a fruit is considered ripe when it is bright red in color.",0,2009-03-01,2011-03-20,NA
42,502,62,"For Alnus incana, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
43,501,75,"For Fraxinus pennsylvanica, male and female flowers are petal-less and the stamens or pistil becomes clearly visible once the flower &quot;opens&quot;.",0,2009-03-01,2011-03-20,NA
44,390,94,"In Vaccinium corymbosum, a berry is considered ripe when it is blue to blue-black in color.",0,2009-03-01,2011-03-20,NA
45,501,95,"For Viburnum lantanoides, ignore the large, sterile flowers on the perimeter of the flower cluster, and watch for the opening of the smaller, fertile flowers in the center.",0,2009-03-01,2011-03-20,NA
46,390,95,"In Viburnum lantanoides, a berry is considered ripe when it is purple-black in color.",0,2009-03-01,2011-03-20,NA
47,390,84,"In Prosopis glandulosa, a fruit is considered ripe when the seedpod has dried and turned brown.",0,2009-03-01,2011-03-20,NA
48,202,150,"For Arisaema triphyllum, a berry is considered ripe when it is bright red in color.",0,2009-03-01,2011-03-20,NA
49,390,85,"In Prosopis juliflora, a fruit is considered ripe when the seedpod has dried and turned brown.",0,2009-03-01,2011-03-20,NA
50,371,102,"For Quercus rubra, the young leaf may appear pinkish.",0,2009-03-01,2011-03-20,NA
51,502,102,"For Quercus rubra, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
52,483,16,"Leaves of Fouquieria splendens unfold very rapidly, so if a leaf is visible, it is most likely already in the unfolded stage.",0,2009-03-01,2011-03-20,NA
53,201,16,"In Fouquieria splendens, watch for the opening of the many small individual flowers on the large flower stalk (inflorescence).",0,2009-03-01,2011-03-20,NA
54,501,69,"For Cornus nuttallii, ignore the 4-8 large, white bracts and watch for the opening of the small flowers in the center of the showy bracts.",0,2009-03-01,2011-03-20,NA
55,390,69,"For Cornus nuttallii, a fruit is considered ripe when it is bright red in color.",0,2009-03-01,2011-03-20,NA
56,202,194,"For Trillium undulatum, a berry is considered ripe when it is bright red in color and plump.",0,2009-03-01,2011-03-20,NA
57,502,99,"For Betula papyrifera, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
58,390,83,"In Malus pumila, a fruit is considered ripe when it has reached the appropriate ripened color for the variety.",0,2009-03-01,2011-03-20,NA
59,390,88,"In Prunus persica, a fruit is considered ripe when it is yellowish orange, pink or red in color.",0,2009-03-01,2011-03-20,NA
60,502,67,"For Carya glabra, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
61,502,63,"For Alnus rubra, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
62,371,3,"For Acer rubrum, the young leaf could be reddish-green or red.",0,2009-03-01,2011-03-20,NA
63,202,192,"For Trillium erectum, a berry is considered ripe when it is red to purple in color and plump.",0,2009-03-01,2011-03-20,NA
64,390,70,"For Cornus sericea, a fruit is considered ripe when it is white to bluish in color.",0,2009-03-01,2011-03-20,NA
65,502,68,"For Carya ovata, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
66,390,86,"In Prunus dulcis, a fruit is considered ripe when the hull splits to expose the stone/nut.",0,2009-03-01,2011-03-20,NA
67,502,98,"For Betula lenta, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
68,371,128,"For evergreen Tamarix individuals, new leaves are generally located toward the tips of the stems and are a somewhat lighter shade of green than older leaves on the plant",0,2009-03-01,2011-03-20,NA
69,390,65,"For Amelanchier utahensis, a fruit is considered ripe when it is dark blue or black in color.",0,2009-03-01,2011-03-20,NA
70,202,17,"For Fragaria virginiana, a berry is considered ripe when it is bright red in color.",0,2009-03-01,2011-03-20,NA
71,501,74,"For Fraxinus americana, male and female flowers are petal-less and the stamens or pistil becomes clearly visible once the flower &quot;opens&quot;.",0,2009-03-01,2011-03-20,NA
72,502,100,"For Quercus alba, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
73,202,38,"For Trillium grandiflorum, a berry is considered ripe when it is red to red-purple in color and plump.",0,2009-03-01,2011-03-20,NA
74,390,96,"In Vitis vinifera, a fruit is considered ripe when it has reached the appropriate ripened color for the varietal.",0,2009-03-01,2011-03-20,NA
75,502,97,"For Betula alleghaniensis, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2009-03-01,2011-03-20,NA
76,202,6,"For Caltha palustris, a seed pod is considered ripe when it is purple in color and dried (no longer fleshy).",0,2009-03-01,2011-03-20,NA
77,390,1,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
78,390,2,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
79,390,3,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
80,390,4,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
81,390,27,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2010-04-20,NA
82,390,33,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
83,390,59,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
84,390,60,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
85,390,61,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
86,390,74,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
87,390,75,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
88,390,76,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
89,390,77,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2010-04-20,NA
90,390,79,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
91,390,81,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2010-04-19,NA
92,390,82,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
93,390,92,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
94,390,125,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
95,390,201,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
96,390,206,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
97,390,211,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
98,390,214,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
99,390,216,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
100,390,217,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
101,390,225,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
102,390,227,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
103,390,228,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
104,390,62,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
105,390,63,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
106,390,67,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
107,390,68,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
108,390,71,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
109,390,72,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
110,390,97,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
111,390,98,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
112,390,99,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
113,390,100,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
114,390,101,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
115,390,102,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
116,390,22,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
117,390,66,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
118,390,78,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
119,390,103,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
120,390,106,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
121,390,107,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
122,390,108,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
123,390,109,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
124,390,110,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
125,390,111,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
126,390,113,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
127,390,114,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
128,390,115,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
129,390,116,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
130,390,118,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
131,390,119,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
132,390,120,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
133,390,121,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
134,390,122,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
135,390,123,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
136,390,124,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
137,390,126,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
138,390,127,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
139,390,128,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
140,390,218,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
141,390,221,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
142,390,226,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
143,390,222,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
144,202,8,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
145,202,26,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
146,202,144,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
147,202,146,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
148,202,147,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
149,202,148,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
150,202,149,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
151,202,151,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
152,202,152,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
153,202,153,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
154,202,154,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
155,202,155,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
156,202,156,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
157,202,157,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
158,202,158,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
159,202,159,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
160,202,160,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
161,202,161,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
162,202,162,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
163,202,163,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
164,202,164,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
165,202,165,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
166,202,166,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
167,202,167,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
168,202,168,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
169,202,170,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
170,202,171,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
171,202,172,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
172,202,175,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
173,202,176,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
174,202,177,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
175,202,178,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
176,202,179,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
177,202,180,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
178,202,181,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
179,202,182,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
180,202,183,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
181,202,184,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
182,202,185,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
183,202,186,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
184,202,187,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
185,202,188,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
186,202,190,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
187,202,191,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
188,202,193,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
189,202,195,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
190,202,197,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
191,202,198,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
192,202,199,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
193,202,200,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
194,202,202,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
195,202,203,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
196,202,204,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
197,202,205,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
198,202,207,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
199,202,208,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
200,202,209,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
201,202,212,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
202,202,213,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
203,202,223,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
204,202,224,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
205,202,19,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
206,202,104,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
207,202,112,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
208,202,210,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
209,202,215,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2009-03-01,2011-03-20,NA
211,502,297,"For Quercus geminata, the male flowers from which pollen is released are arranged on catkins. Where catkins are out of reach, pollen release may be estimated by observing the degree of catkin elongation and looseness. Once the initially compact catkins have unfolded and are hanging loosely, pollen will be released.",0,2010-03-19,2011-03-20,NA
349,390,297,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2010-03-19,2011-03-20,NA
350,390,298,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2010-03-19,2011-03-20,NA
388,501,16,"For Fouquieria splendens, watch for the opening of the many small individual flowers on the large flower stalk (inflorescence).",0,2010-03-19,2011-03-20,NA
389,390,292,"For Cornus foemina, a fruit is considered ripe when it is blue in color.",0,2010-03-25,2011-03-20,NA
390,390,293,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2010-03-24,2010-04-20,NA
391,202,294,"Check back later in the season for specific information to identify ripe fruits for this species.",0,2010-03-24,2011-03-20,NA
392,393,39,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
393,393,40,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
394,393,41,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
395,393,42,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
396,393,46,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
397,393,47,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
398,393,48,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
399,393,49,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
400,393,51,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
401,393,55,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
402,393,56,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
403,393,57,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
404,393,58,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
405,393,25,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
406,393,50,"A seed cone is considered ripe when it has turned brown and the scales have spread apart to reveal the seeds inside. Do not include cones that have already dropped all of their seeds but remain on the plant.",0,2010-03-24,2010-04-19,NA
