"intensity_category_id","intensity_name","intensity_value_id","intensity_value_name","intensity_type","intensity_midpoint"
66,"Receptacles percentage",28,"50-74%","percent",62
66,"Receptacles percentage",29,"75-94%","percent",84
66,"Receptacles percentage",30,"95% or more","percent",95
69,"Young needle bundles present (10000)",32,"Less than 3","number",1
69,"Young needle bundles present (10000)",33,"3 to 10","number",5
69,"Young needle bundles present (10000)",39,"11 to 100","number",50
69,"Young needle bundles present (10000)",40,"101 to 1,000","number",500
69,"Young needle bundles present (10000)",41,"1,001 to 10,000","number",5000
69,"Young needle bundles present (10000)",42,"More than 10,000","number",10001
70,"Emerging needle bundles (10000)",32,"Less than 3","number",1
70,"Emerging needle bundles (10000)",33,"3 to 10","number",5
70,"Emerging needle bundles (10000)",39,"11 to 100","number",50
70,"Emerging needle bundles (10000)",40,"101 to 1,000","number",500
70,"Emerging needle bundles (10000)",41,"1,001 to 10,000","number",5000
70,"Emerging needle bundles (10000)",42,"More than 10,000","number",10001
71,"Potential needle canopy fullness (dead branch)",25,"Less than 5%","percent",2
71,"Potential needle canopy fullness (dead branch)",26,"5-24%","percent",14
71,"Potential needle canopy fullness (dead branch)",27,"25-49%","percent",37
71,"Potential needle canopy fullness (dead branch)",28,"50-74%","percent",62
71,"Potential needle canopy fullness (dead branch)",29,"75-94%","percent",84
71,"Potential needle canopy fullness (dead branch)",30,"95% or more","percent",95
72,"Potential needle canopy color (dead branch)",25,"Less than 5%","percent",2
72,"Potential needle canopy color (dead branch)",26,"5-24%","percent",14
72,"Potential needle canopy color (dead branch)",27,"25-49%","percent",37
72,"Potential needle canopy color (dead branch)",28,"50-74%","percent",62
72,"Potential needle canopy color (dead branch)",29,"75-94%","percent",84
72,"Potential needle canopy color (dead branch)",30,"95% or more","percent",95
73,"Potential leaf canopy fullness (dead branch)",25,"Less than 5%","percent",2
73,"Potential leaf canopy fullness (dead branch)",26,"5-24%","percent",14
73,"Potential leaf canopy fullness (dead branch)",27,"25-49%","percent",37
73,"Potential leaf canopy fullness (dead branch)",28,"50-74%","percent",62
73,"Potential leaf canopy fullness (dead branch)",29,"75-94%","percent",84
73,"Potential leaf canopy fullness (dead branch)",30,"95% or more","percent",95
74,"Potential leaf canopy color (dead branch)",25,"Less than 5%","percent",2
74,"Potential leaf canopy color (dead branch)",26,"5-24%","percent",14
74,"Potential leaf canopy color (dead branch)",27,"25-49%","percent",37
74,"Potential leaf canopy color (dead branch)",28,"50-74%","percent",62
74,"Potential leaf canopy color (dead branch)",29,"75-94%","percent",84
74,"Potential leaf canopy color (dead branch)",30,"95% or more","percent",95
